menu_name,calories,protein_g,fat_g,carbs_g
鮭定食ミニ,454,21.5,10.3,70.9
鮭定食並盛,592,23.9,10.7,102.1
鮭定食大盛,732,26.4,11.2,133.6
納豆定食ミニ,460,19.3,10.3,74.3
納豆定食並盛,598,21.7,10.7,105.5
納豆定食大盛,737,24,11.2,136.8
鮭・納豆定食ミニ,580,32.3,17.8,74.3
鮭・納豆定食並盛,718,34.7,18.2,105.5
鮭・納豆定食大盛,857,37,18.7,136.8
さば定食ミニ,499,18.2,16.7,70.9
さば定食並盛,637,20.6,17.1,102.1
さば定食大盛,776,22.9,17.6,133.4
さば納豆定食ミニ,618,28.1,23.8,73.7
さば納豆定食並盛,756,30.5,24.2,104.9
さば納豆定食大盛,895,32.8,24.7,136.2
牛カルビ焼肉定食ミニ,783,24,37.6,84.1
牛カルビ焼肉定食並盛,921,26.4,38,115.3
牛カルビ焼肉定食大盛,1060,28.7,38.5,146.6
牛カルビ焼肉定食ごはんミニ肉２倍,1210,39.3,71.3,95.7
牛カルビ焼肉定食ごはん並肉２倍,1348,41.7,71.7,126.9
牛カルビ焼肉定食ごはん大盛肉２倍,1487,44,72.2,158.2
おんたま牛カルビ焼肉定食ミニ,866,30.9,43.3,84.3
おんたま牛カルビ焼肉定食並盛,1045,37.2,46.7,119
おんたま牛カルビ焼肉定食大盛,1143,35.4,44.2,146.8
おんたま牛カルビ焼肉定食ごはんミニ肉２倍,1294,46.3,77,95.8
おんたま牛カルビ焼肉定食ごはん並肉２倍,1432,48.5,77.4,127
おんたま牛カルビ焼肉定食ごはん大盛肉２倍,1571,50.8,77.9,158.3
キムチ牛カルビ焼肉定食ミニ,813,25.6,37.9,89.1
キムチ牛カルビ焼肉定食並盛,951,28,38.3,120.3
キムチ牛カルビ焼肉定食大盛,1090,30.3,38.8,151.6
キムチ牛カルビ焼肉定食ごはんミニ肉２倍,1240,40.9,71.7,100.7
キムチ牛カルビ焼肉定食ごはん並肉２倍,1378,43.3,72.1,131.9
キムチ牛カルビ焼肉定食ごはん大盛肉２倍,1517,45.6,72.6,163.2
チーズ牛カルビ焼肉定食ミニ,947,34.2,50,87.4
チーズ牛カルビ焼肉定食並盛,1085,36.6,50.4,118.6
チーズ牛カルビ焼肉定食大盛,1224,38.9,50.9,149.9
チーズ牛カルビ焼肉定食ごはん並肉２倍,1512,51.9,84.1,130.2
チーズ牛カルビ焼肉定食ごはん並肉２倍,1512,51.9,84.1,130.2
チーズ牛カルビ焼肉定食ごはん大盛肉２倍,1651,54.2,84.6,161.5
たまかけ朝食ミニ,435,16.3,9.5,72.9
たまかけ朝食並盛,573,18.7,9.9,104.1
