menu_name,calories,protein_g,fat_g,carbs_g
カフェモカ(M),267,9.1,9.7,35.5
カフェモカ(S),173,5.8,6.2,23.4
カフェモカ(テイクアウト用)(M),277,9.6,10.2,36.3
カフェモカ(テイクアウト用)(S),183,6.3,6.7,24.1
カフェラテ(M),147,7.2,8.2,10.7
カフェラテ(S),95,4.7,5.3,6.9
カフェラテ(テイクアウト用)(M),162,8,9,11.8
カフェラテ(テイクアウト用)(S),116,5.7,6.5,8.5
カプチーノ(M),127,6.1,6.9,9.8
カプチーノ(S),89,4.3,4.8,7.1
カプチーノ(テイクアウト用)(M),135,6.5,7.4,10.4
カプチーノ(テイクアウト用)(S),91,4.3,4.9,7.2
キャラメルラテ(M),195,6.6,7.5,25.2
キャラメルラテ(S),126,4.2,4.7,16.6
キャラメルラテ(テイクアウト用)(M),213,7.2,8.2,27.4
キャラメルラテ(テイクアウト用)(S),152,5.2,5.9,19.3
グリーンスムージー,104,0.9,0.7,24.2
ダージリンティー(M),0,0,0,0.2
ダージリンティー(S),0,0,0,0.2
ダージリンティー(テイクアウト用)(M),0,0,0,0.3
ダージリンティー(テイクアウト用)(S),0,0,0,0.2
チョコフラッペ オレオ® クッキー,384,7.9,12.6,61
トリプルチョコ&キャラメルスコーン,297,5.4,15.9,33.1
ニトロブリューコーヒー アイスブラック,8,0.5,0,1.2
ニトロブリューコーヒー アイスミルク,74,3.7,3.9,5.7
ハートのマカロン ストロベリー,65,1.4,3,8.2
ピーチフレーバーアイスティー(L),139,0.2,0,34.6
ピーチフレーバーアイスティー(M),93,0.1,0,23.1
フラットホワイト(M),135,6.6,7.5,9.9
フラットホワイト(S),99,4.9,5.5,7.2
フラットホワイト(テイクアウト用)(M),171,8.4,9.6,12.5
フラットホワイト(テイクアウト用)(S),129,6.3,7.2,9.4
プリンケーキ,179,2.1,10.1,19.8
ベビーチーノ(S),31,1.4,1.6,2.8
ホイップクリーム,67,0.8,4.3,6.3
ホットチョコレート(M),255,8.6,9.1,34.5
ホットチョコレート(S),169,5.7,6,22.9
ホットチョコレート(テイクアウト用)(M),257,8.7,9.3,34.7
ホットチョコレート(テイクアウト用)(S),169,5.7,6,22.9
マカロン チョコレート,82,1.5,4.2,9.5
マカロン バニラ,82,1.7,4,9.8
マカロン ラズベリー,81,1.4,4.2,9.3
マンゴースムージー,194,0.3,0.3,47.1
ロールケーキ オレオ® クッキー,266,4,17.1,24.1
宇治抹茶フラッペ,246,5.3,9,36.2
